"Name","Description","Fun Fact 1","Fun Fact 2","Fun Fact 3"
"Canaan Dog Breed ","The Canaan Dog, also known as Canaanic Dog, the Israel Canaan Dog, the Kanaanhond, the Kanaan Hund, the Kelef Kanani, the Kelef K’naani and the Pariah Dog, is the National Breed of Israel and dates back to Biblical times where it was used as a sentry and herd dog for nomadic people. They later were trained to detect land mines during times of war, and after that to perform as valued guide dogs for the blind. Like most herding dogs, the Canaan Dog is easily trainable and adaptable. They also are alert, watchful, protective and very territorial. They can be especially distrustful of strangers but are devoted and docile with their family. They need to be supervised around children and other animals that are not in their family. These dogs are not especially high-energy, but they love to work and require thorough socialization and obedience training to be happy and companionable. They have a strong flight instinct and are fleet-footed. They tend to bark more so than many other breeds and are described as being highly and persistently vocal. Owners of a Canaan Dog need to provide a home environment which is physically and mentally challenging to prevent boredom. The Canaan Dog entered the American Kennel Club’s Miscellaneous class in June 1989, was registered in the Stud Book of the AKC in 1997 and became eligible for full breed registration in August of 1997.","Appearance & Grooming of the Canaan Dog Breed: The average Canaan Dog stands about 2 feet high and weighs on average between 35 and 55 pounds. The Canaan’s thick coat should be brushed regularly to keep down shedding, but they do not require a lot of grooming or maintenance.","The Canaan Dog was first recognized by the Israel Kennel Club in 1953 and by the FCI (Federation Cynologique Internationale) in 1966. The first accepted standard was written by Dr. Menzel.","History and Health of the Canaan Dog Breed:  The Canaan Dog dates back to Biblical times where it was used as a sentry and herd dog for nomadic people. They later were trained to detect land mines during times of war, and after that to perform as valued guide dogs for the blind."
"Cane Corso Dog Breed ","The Cane Corso, also known as the Cane Corso Italiano, Cane Corso Mastiff, Italian Corso Dog, Italian Mastiff and Italian Molosso, is an imposing, intelligent and often intimidating dog whose sheer size and overall appearance cause one to sit up and take notice.  It gets its name from the Latin word cohors, which means “guardian” or “protector.”  This is one of two Italian mastiff-type breeds that descend from the Roman Canis Pugnax, also called the Canis Pugnases or Roman Molossian. The Cane Corso is not a common breed in the United States.  However, it is gaining in popularity. The Corso originated in Italy, where for centuries it served as the guardian and powerful protector of people, possessions and property.  The breed also was used to hunt large, difficult, dangerous game, such as wild boar.  The Cane Corso was accepted for full registration status by the American Kennel Club effective in 2010.  It is a member of the AKC’s Working Group.","Appearance & Grooming of the Cane Corso Dog Breed: The average Cane Corso stands 23 to 26 inches tall, and weighs between 110 and 130 pounds.  They are light shedders, which make maintaining their coat simple.","History and Health of the Cane Corso Dog Breed:  The Cane Corso was originally developed in Italy around the 1980'’s to serve as the guardian and powerful protector of people, possessions and property.  The breed also was used to hunt large, difficult, dangerous game, such as wild boar.","The Cane Corso dog breed has a personality and temperament that is docile, devoted, affectionate, and loyal.  This breed is sensitive to even the tiniest suggestion of danger, disruption or distress in its household."
"Cardigan Welsh Corgi Dog Breed ","The Cardigan Welsh Corgi, also known as the Cardi, the Kergi, the Cardigan, the Corgi and the CWC, is the older of the two Welsh Corgi breeds and is the one with a tail and slightly larger, rounder and wider-set ears. The other, the Pembroke Welsh Corgi, is naturally tail-less. The word “corgi” is Celtic for “dog.” The Cardigan is a powerful, handsome and intelligent dog capable of both speed and stamina. It is even-tempered, loyal, affectionate and highly adaptable. Cardigans make terrific family dogs, watch and guard dogs and can get along well with children and other animals if well-socialized from an early age. Corgis are not naturally aggressive but can be wary of strangers. They tend to bond most closely with their primary owner and may be considered a one-person companion. Cardis are extremely energetic, muscular and strong and need continual mental and physical stimulation to prevent boredom. These agile dogs love learning new tricks and excel at all types of canine competition.","Appearance & Grooming of the Cardigan Welsh Corgi Dog Breed: Cardigan Welsh Corgis stand from 10.5 to 12.5 inches high at the shoulder and they weigh between 25 and 35 pounds. Their thick, double coat sheds throughout the year, but is easy to maintain with regular brushing.","History and Health of the Cardigan Welsh Corgi Dog Breed:  The Cardigan Welsh Corgi reportedly came to the Welsh high country now known as Cardiganshire with warrior Celts from central Europe in about 1200 B.C. They functioned as herding dogs and their low-slung body type made them adept at heeling cattle.","The Cardigan Welsh Corgi Dog Breed has a personality and temperament that is spirited and loyal. Corgis make terrific family dogs as they are good with other pets, make reliable watchdogs, and are trustworthy around children."
"Carolina Dog Breed ","The Carolina dog, also known as the American Dingo, the Southern Aboriginal Dog and the more colloquial, “Ol’ Yaller” is an ancient breed that bears a strong resemblance to the Dingo. Their roots are with wild dogs that roamed the American South, primarily South Carolina and Georgia, where they fended for themselves and through natural selection, evolved into versatile and sturdy dogs that could survive the region’s swamps and forests. Not much has been written about the Carolina Dog prior to the late 19th and early 20th Centuries. Though over the last several decades they have been bred domestically, researchers are still learning about these dogs through DNA and behavioral research. Despite their undomesticated background, Carolina Dogs are bred today to be human companions. They are gentle by nature and respond well to consistent training.  This breed is meant for the outdoors, and they thrive in families with multiple dogs. They love being outside and dislike being penned up for long periods of time.  Carolina Dogs are highly intelligent and once basic training has been mastered, they excel in many activities, including agility.","The Carolina Dog is unique in that it is an ancient breed that has only recently begun to be studied and understood.","The Carolina Dog is truly a pack animal that bonds tightly to the people and dogs in his own family. They can be aloof or even nervous around strangers, but they are not an aggressive breed.","The Carolina Dog is a primitive breed that strongly resembles the Dingo in appearance. The head is triangular in shape with a tapered muzzle and strong jaw. The muzzle is usually the same length as the skull and the nose is black with wide nostrils."
"Cavalier King Charles Spaniel Dog Breed ","There is great debate about the precise origin of the Cavalier King Charles Spaniel, also known as the Cav, the Cavalier and the Cavie. However, there is no doubt that small spaniels have existed for many centuries, especially favored by the children of royalty as they were a luxury lap dog bred purely for companionship rather than for work. This is an active, elegant, well-balanced toy breed described as being “very gay and free in action, fearless and sporting in character, yet at the same time gentle and affectionate” by the American Kennel Club official breed standard. A sweet, soft, melting expression is an important breed characteristic, with large, dark, round but not prominent brown eyes.","Appearance & Grooming of the Cavalier King Charles Spaniel Dog Breed: The average Cavalier stands about 1.5 feet high and weighs between 13 and 18 pounds. Their long, silky coat should be brushed daily, and their floppy ears should be cleaned and checked frequently for any signs of infection.","History and Health of the Cavalier King Charles Spaniel Dog Breed: A luxury dog bred purely for companionship rather than for work, The breed was a popular lap dog for hundreds of years until the house of Stuart fell to the Tudors. The Cavalier may have disappeared altogether if it were not for Queen Victoria’s interest in the breed.","The Cavalier King Charles Spaniel Dog Breed has a personality and temperament that is friendly and easy going.  This breed is the perfect family dog, they are excellent with children and the elderly, and they get along well with other animals. Cavaliers even welcome strangers with open arms."
"Cesky Terrier Dog Breed ","The Cesky Terrier, also known as the Bohemian Terrier, Cesky Terier, Czech Terrier, Czesky Terrier or simply the Cesky (pronounced “chess-key”), is a short-legged, long-bodied, muscular, fairly uncommon breed that originated in the Czech Republic and is now considered one of that country’s national dog breeds.  It was developed in the 1940s due to the efforts of a Czechoslovakian Scottish Terrier breeder and avid hunter who wanted a small, smart, low maintenance dog that could enter the burrows of its rodent prey more easily than larger, stockier terriers.  He crossed Scottish and Sealyham Terriers, and probably a few other breeds like the Dandie Dinmont Terrier, to create a pack-hunting terrier with a narrow chest, slim head and soft, silky coat. These attributes, together with the Cesky’s short stature, gave it an advantage when going underground after small prey animals.  Ceskys have terrific digging skills, which help them reach prey that other dogs might not have the energy or ability to pursue.  They are adept at hunting fox, duck, rabbit and pheasant and also have been used to hunt wild boar. These are smart, active, attractive dogs that are unwaveringly loyal to their owners and are a bit less high-energy than other terrier breeds.  ","Appearance & Grooming of the Cesky Terrier Dog Breed:  Cesky Terriers typically range from 10 to 13 inches in height measured at the withers and weigh somewhere between 13 and 24 pounds. Grooming a Cesky can be very time consuming, so owners should be advised to seek the services of a professional groomer.","History and Health of the Cesky Terrier Dog Breed: This breed was developed in the 20th Century by Frantisek Horak who wanted to breed lighter, more low-slung terrier that was especially well-adapted to “going to ground” and entering the narrow tunnels and burrows of small game that inhabited the Bohemian forests.","The Cesky Terrier Dog Breed has a personality and temperament that is happy and easygoing. They are less edgy than other terrier breeds, but are true terriers when it comes to the hot, feisty, stubborn streak that makes Terriers such talented hunters and watchdogs."
"Chesapeake Bay Retriever Dog Breed ","The Chesapeake Bay Retriever, also known as the CBR, the Chesapeake, and the Chessie, is a breed of dog in the Sporting Group. The athletic Chesapeake breed is most well known for its love of water and its ability to navigate through freezing and rough waters. The Chesapeake was recognized by the AKC in the year 1878 and approved by the AKC in the year 1993.","Appearance & Grooming of the Chesapeake Bay Retriever Dog Breed: The average Chesapeake Bay Retriever stands about 3 feet high and weighs between 55 and 80 pounds. They have a thick curly coat that should be brushed every few days to help distribute their natural weather proofing oils.","History and Health of the Chesapeake Bay Retriever Dog Breed:  The breed can be traced to the 1800’s and two Newfoundland dogs rescued from a shipwreck in Maryland. They got their name from the Chesapeake Bay where they would swim through icy cold and choppy waters to retrieve ducks.","The Chesapeake Bay Retriever Dog Breed has a personality and temperament that is friendly and courageous. This is an extremely intelligent, athletic, and energetic breed; they thrive on working with their human companions, learning new tricks and commands, and participating in competitions."
"Chihuahua Dog Breed ","The Chihuahua, a companion dog of diminutive size, has been known as the Chihuahua Kortaar, the Smooth-coat Chihuahua, the Chihuahua Langhaar and the Longcoat Chihuahua. It also has been called the Mexican Dwarf Dog, the Ornament Dog, the Raza Fina and the Pillow Dog. Chihuahuas have a plucky, almost terrier-like temperament that serves as an effective alarm system. They are alert, bold, feisty little dogs with saucy expressions and playful dispositions. Chihuahuas are most famous for their tiny stature, which arguably makes them the perfect portable “purse dog” or “pocket pet.” They should not be underestimated because of its size. This is a highly intelligent and athletic breed. Chihuahuas that are not properly socialized can become snappy towards children and strangers, and their delicate bone structure requires special attention so that they are not injured by jumping off of high places or being hurt by rambunctious children. The Chihuahua was recognized by the American Kennel Club in 1904, as a member of the Toy Group. They are consistently ranked among the top ten in popularity of breeds recognized by the American Kennel Club.","Appearance & Grooming of the Chihuahua Dog Breed: The average Chihuahua stands about 3 feet high and weighs between 55 and 80 pounds.  Chihuahuas need to be brushed regularly, whether the coat is long or short, but they only require baths as needed.","History and Health of the Chihuahua Dog Breed:  The history of the Chihuahua has been lost, but there is mention of similar dogs as far back as the days of the Egyptian Pyramids It is possible that the breed’s introduction to Mexico came through Christopher Columbus.","The Chihuahua Dog Breed has a personality and temperament that is happy, companionable, alert, and playful. Chihuahuas that are not properly socialized can develop aggressive tendencies towards children and strangers, but they do socialize and train well."
"Chinese Crested Dog Breed ","The Chinese Crested, also known as the Crested, the Chinese Hairless, the Chinese Edible Dog, the Chinese Ship Dog, the Chinese Royal Hairless and the Puff, is believed to have descended from African hairless dogs which were reduced in size by selective breeding in China.  It has been known by various nick-names depending upon where it was found.  In Egypt, it was called a Pyramid or Giza Hairless; in South Africa it was called the South African Hairless, and in Turkey a larger version was called the Turkish Hairless.  In China, this toy breed was originally known as the Treasure House Guardian.","Appearance & Grooming of the Chinese Crested Dog Breed: The average Chinese Crested stands about 11-13 inches high at the shoulder, and weighs between 8-10 pounds. The Powder-puff variety should be brushed once a day, and the Hairless variety needs periodic oil treatments to keep their skin from drying out.","The Powderpuffs have a very soft and fine double coat that requires full brushing every other day to avoid matting. Maintenance of the Hairless variety's skin is similar to maintaining human skin, it can be susceptible to acne, dryness, and sunburn.","History and Health of the Chinese Crested Dog Breed: The history of the breed is questionable, but they are believed to be descendents of African hairless dogs. Over time they were bred for smaller sizes to be ratters, and they were often brought aboard on ships to keep the rodent population under control."
"Chinese Shar Pei Dog Breed ","The Chinese Shar-Pei, also known as the Chinese Fighting Dog or simply the Shar Pei, is an ancient breed that has existed for centuries in the southern provinces of China. “Shar-Pei” literally translates as “sand skin” but more loosely means “rough, sandy coat” or “draping sandpaper-like skin.” In addition to their strange wrinkled appearance, they have a characteristic solid blue-black tongue, a feature shared only with another ancient Chinese breed, the Chow Chow. The Chinese Shar-Pei was recognized by the American Kennel Club in 1988 as a non-sporting dog and fully approved in 1992.","Appearance & Grooming of the Chinese Shar-Pei Dog Breed: The average Shar-Pei stands just over 2 feet tall and weighs between 45 and 60 pounds. Their short thick coat should be brushed regularly, and the folds of their skin need to be cleaned and checked often to prevent serious skin infections.","History and Health of the Chinese Shar-Pei Dog Breed: The breed originated in China thousands of years ago, presumably for fighting.  They almost disappeared after the People’s Republic of China banned domestic dogs. A few Shar-Peis survived and were bred and shown in British Hong Kong and in Taiwan.","The Chinese Shar-Pei Dog Breed has a personality and temperament that is loyal and intelligent. They are instinctively wary of strangers. Due to its breed characteristics and size, pet owners of the Shar-Pei need to ensure that their dogs have been properly socialized and continually trained."
"Chinook Dog Breed","The Chinook is a working breed that was developed by an American explorer and dog enthusiast named Arthur Treadwell Walden.  Originally from New Hampshire, Walden became a well-known dogsled driver and racer in Alaska.  He acquired a Husky cross that he named “Chinook.”  Chinook inspired Warner to create a new American sled dog breed, which he did.  He returned to New Hampshire and located husky-type dogs with strength, speed and good temperaments.  He bred his first litter in 1917, and named the best puppy after his former favorite.  This second Chinook is the founding sire of the breed.  Chinooks are powerful, large, well- balanced animals that can pull heavy loads while still maintaining speed.  They have thick, close-fitting golden coats and are friendly, smart and loyal.  Because they were bred to work in teams, Chinooks usually get along quite well with other dogs.  They are particularly good around children.  Today’s Chinook makes a wonderful pet for active owners who enjoy spending lots of time with their dog in the out-of-doors.","Appearance & Grooming of the Chinook Dog Breed:  Chinooks stand from 22 to 26 inches tall, and typically weigh between 55 and 90 pounds.  Their heavy coats should be brushed several times a week, especially if shedding becomes a problem in the home.  They don’t require frequent bathing, unless they get especially  dirty.","History and Health of the Chinook Dog Breed: The Chinook is a working breed that was developed in the early 20th Century by American explorer and dog enthusiast Arthur Treadwell Walden. Chinooks are powerful, large, well- balanced animals that can pull heavy loads while still maintaining speed.","The Chinook Dog Breed has a personality and temperament that is gentle and affectionate. They get along well with children and other dogs and are neither aggressive nor timid.  The Chinook does not make a good guard dog. However, they are great dogs for high-energy families that have lots of time to spend with their pets."
"Chow Chow Dog Breed ","The Chow Chow, also known as the Black-Tongue, the Black-Mouthed dog, Lang Kou (wolf dog), Hsiung Kou (bear dog), Hei She-t’ou (black-tongued) or Kwantung Kou (dog of Canton), or simply the Chow, is believed to be one of the oldest recognizable canine breeds. A lordly and aloof dog, it has become fashionable as both a guard dog and as a companion. The Chow was officially recognized by the American Kennel Club in 1903. The Chow Chow Club of America was admitted as an AKC member club in 1906.","Appearance & Grooming of the Chow Chow Dog Breed: The average Chow Chow stands 17 to 20 inches high at the shoulders and weighs between 45 and 70 pounds. Their thick coats need to be brushed three to four times per week in order to keep the coat healthy and to remove loose and dead hair.","History and Health of the Chow Chow Dog Breed: The Chow Chow breed is believed to be over 2000 years old. The breed originated in the area that is now known as China, and they were bred as all around working dogs for hunting, guarding, and farm work.","The Chow Chow Dog Breed has a personality and temperament that is independent and aloof. Chows will bond closely with their primary owner, and they are extremely watchful towards strangers. Chow Chows are also very territorial, and they will not share their home with a Chow of the same sex."
"Cirneco dell'Etna Dog Breed ","The Cirneco dell'Etna (pronounced ""cheer-nay-ko del etna"") is an Italian breed developed on the island of Sicily several thousands of years ago.  It has also been called the Sicilian Greyhound, the Sicilian Hound or simply the Cirneco.  The name “Cirneco"" is generally thought to be derived from the Greek word ""kyrenaikos,"" which means ""dog from Cyrene,"" the area in North Africa now known as Libya.  Some authorities suggest that the breed’s name may come from the Latin term ""cernere,"" which means ""to look for attentively."" The affix ""dell'Etna"" was only added in 1939, when the first breed standard was formally recognized by the Italian Kennel Club (ENCI).  It translates as ""from Etna,"" referring to Mount Etna, the 10,000-foot active volcano on Sicily’s eastern side, where the highest concentrations of Cirnechi still live.  ","Appearance & Grooming of the Cirneco dell'Etna Dog Breed:  Cirneco dell'Etnas stand between 15 and 19¾ inches at the withers and typically weigh between 17 and 27 pounds. Their short coats only need an occasional brushing with a rubber curry brush or hound glove to stay healthy.","History and Health of the Cirneco dell'Etna Dog Breed: The Cirneco dell'Etna is an Italian breed developed on the island of Sicily several thousands of years ago. Originally used to hunt rabbits and other small game on rough ground formed by molten lava, these trim, muscular dogs rely on sight, scent and hearing to track their prey.","The Cirneco dell'Etna Dog Breed has a personality and temperament that is independent and loyal. They usually make great family pets, although they can be reserved around strangers. Cirnechi are social animals that tend to get along well with other dogs and they rarely cause problems in multiple-pet homes."
"Clumber Spaniel Dog Breed ","The Clumber Spaniel is a breed of dog in the Sporting Group. Low to the ground and famous for its steady, slow, and rolling gait, the Clumber Spaniel is one the first Spaniel breeds to have been created for a specific purpose. This breed was recognized by the AKC in 1884 and AKC approved in 2001.","Appearance & Grooming of the Clumber Spaniel Dog Breed: The average Clumber Spaniel stands 17 to 20 inches high at the shoulders and weighs between 55 and 85 pounds. Their silky hair does shed a lot, but regular brushing will help to keep the coat clean and control shedding.","History and Health of the Clumber Spaniel Dog Breed: The history of the breed is not entirely clear, but they are believed to have been created in France in the 1700’s. They were created low to the ground to search through the underbrush while hunting; their low, rolling gait was developed for endurance rather than speed.","The Clumber Spaniel Dog Breed has a personality and temperament that is gentle and lovable. This breed is perfect for families as they bond closely to adults and children, and while they may be aloof towards strangers at first they will eventually warm up to new friends."
"American Cocker Spaniel Dog Breed ","American Cocker Spaniels, sometimes simply called “Cockers,” are the smallest of the Spaniel breeds.  Their name is derived from the “woodcock” bird, which they historically were (and still are) especially proficient at hunting.  These are lively, cheerful, intelligent dogs that excel as family companions and weekend bird-hunting partners.  They also excel in the conformation show ring.  Well-bred and well-cared-for, Cockers have glorious coats, dreamy dark eyes and wonderful dispositions.  American Cocker Spaniels have been among the most popular of all purebred dogs in the United States for many decades.  Unfortunately, their immense popularity at times has caused the Cocker Spaniel to suffer from overbreeding by unscrupulous people who focused on making money rather than promoting healthy, sound, well-tempered dogs.  Reputable fanciers of this lovely breed have taken conscientious steps to stabilize the disposition and health of their dogs, in addition to maintaining their glamorous coats and promoting their instinctive hunting talents.  The American Cocker Spaniel was recognized as a member of the AKC’s Sporting Group in 1878. ","Appearance & Grooming of the American Cocker Spaniel Dog Breed: The average size of the Cocker Spaniel is less than two feet in height, and they weight on average between 15 and 30 pounds. Their thick, wavy coat requires regular brushing, bathing and trimming.","History and Health of the American Cocker Spaniel Dog Breed: The original Cocker dogs were named so because they were bred to hunt woodcocks. The American Cocker Spaniel was originally bred as a gun dog in the U.K. They enjoy hunting exercises and usually have no fear of water.","The American Cocker Spaniel Dog Breed has a personality and temperament that is affable and sensitive, and they will bond very closely with their owner or family. They do require training and socialization at a young age, or they can be standoffish towards children and other animals."
"English Cocker Spaniel Dog Breed ","The English Cocker Spaniel, also known as the Cocker and the Merry Cocker, is one of the oldest known land dogs descended from the original spaniels of Spain as one of a family of breeds destined to become highly diversified in size, type, color and hunting ability. This breed is distinguished from the American Cocker Spaniel, and there are two types of English Cocker Spaniels: the working spaniel and the show spaniel, which look very different from one another. The English Cocker Spaniel has an extremely happy, affectionate and loyal personality, which gives it the nickname “the Merry Cocker.” This is a terrific breed for families, particularly the show type, as they get along extremely well with children. The average mature male English Cocker stands 16 to 17 inches at the withers, and mature females of this breed are between 15 and 16 inches in height. Males typically weigh between 28 and 34 pounds, while females typically weigh between 26 and 32 pounds. Their coat should be brushed regularly.","Appearance & Grooming of the English Cocker Spaniel Dog Breed: The average Cocker stands 15 to 17 inches high at the shoulder and weighs between 26 and 34 pounds. Their thick, wavy coat should be brushed daily and they require periodic grooming.","History and Health of the English Cocker Spaniel Dog Breed: The breed was developed in England as a working dog in the late 1800’s. Due to differences in body size and appearance, the English Cocker Spaniel was distinguished as a separate breed from the American Cocker Spaniel in 1946.","The English Cocker Spaniel Dog Breed has a personality and temperament that is happy and loyal. A terrific breed for families, Cockers get along well with children. While the Cocker will form a stronger bond with its primary caretaker, they also enjoy affection and play times with other family members."
"Collie Dog Breed ","The Collie, also known as the Scottish Collie or the Scotch Collie, is perhaps most famous due to the television series about “Lassie.” There are two varieties of Collie: rough-coated, which is the recognizable long-haired Collie, and smooth-coated, which is becoming increasingly popular. Famous for their loyalty, bravery and kind spirit, the Collie is one of the most glamorous and well-known of all dog breeds. Its name is thought to come from the name of the Scottish black-faced sheep called “Colleys” – the animal that this breed was assigned to watch. The Collie was recognized by the American Kennel Club in 1885, one year after the AKC was established. The Collie Club of America was formed in 1886 and was the second parent club to join the AKC.","Appearance & Grooming of the Collie Dog Breed: The average Collie stands 22 to 26 inches high at the shoulders and weighs between 50  and 74 pounds. Their coat requires regular brushing and grooming, and the Rough Collie has higher grooming demands than the Smooth Coat.","History and Health of the Collie Dog Breed: The Collie was bred as a herding and working dog, not for guarding purposes but to manage, drive, and herd the livestock instead. Their exact origin in unknown, but they are believed to have originated in Scotland and Northern England hundreds of years ago.","The Collie Dog Breed has a personality and temperament that is intelligent and affectionate. They are loyal and obedient, but are one of the most energetic and intelligent dog breeds; these dogs require extreme amounts of mental stimulation and physical exercise or they will become bored."
"Curly Coated Retriever Dog Breed ","The Curly-Coated Retriever, also known as the Curly Retriever, the Curly or the CCR, is one of the oldest of all retrieving breeds. Developed in England as a waterfowl specialist and an upland hunter, the Curly Retriever is known to be a versatile, all-purpose dog. Wickedly smart and bred for perseverance, the Curly can be trained to do almost anything. He needs a job to do to prevent boredom, which can be accompanied by destructive habits. The breed was recognized by the American Kennel Club in 1924, as a member of its Sporting Group.","Appearance & Grooming of the Curly Coated Retriever Dog Breed: The average Curly stands 23 to 27 inches high at the shoulders and weighs between 65 and 80 pounds.  The Curly should be brushed and groomed on a regular basis, but their short coat is easy to care for.","History and Health of the Curly Coated Retriever Dog Breed: As one of the oldest retriever breeds, their exact history is not known. They are believed to have been created in 1700 or 1800’s as an all around hunting dog that could work and retrieve in many different types of environments, particularly wet ones.","The Curly Coated Retriever Dog Breed has a personality and temperament that is independent but playful. This high speed, graceful, and agile, breed needs plenty of exercise and mental stimulation or they will quickly become bored."
"Dachshund Dog  Breed ","The Dachshund, also known as the Dachel, the Teckel, the Normalgrosse Teckel, the Dachslein, the Doxie, the Hot Dog, the Sausage Dog and the Wiener dog, was actually named for the German phrase meaning “Badger Dog.” The German word dachs means ”badger” – another animal with a sturdy body on short, crooked legs. The Dachshund was developed because of its ability to track prey and “go to earth” to attack badgers and other burrowing mammals. True to its origin, the modern Dachshund participates successfully in field trials and earth-dog tests, showing its keen hunting instincts and go-to-ground hunting ability. Despite its exaggerated and almost comical appearance, the Dachshund is a very smart and athletic dog that makes an excellent house pet. The Dachshund was recognized in the Stud Book of the American Kennel Club in 1885.","Appearance & Grooming of the Dachshund Dog Breed: The Dachshund breed comes in three sizes: toy, miniature and standard and they range in weight from 8 to 32 pounds.  The Dachshund coat is very easy to maintain and requires only minimal grooming.","History and Health of the Dachshund Dog Breed: The Dachshund breed originated in Germany in the early 1600’s. The breed’s streamlined, hotdog shape and brave, bold attitude was created to hunt and eventually fight, badgers deep within their underground dens.","The Dachshund Dog Breed has a personality and temperament that is playful and brave. This breed is an excellent breed for families, but they must be socialized and trained well or they can develop abnormal shyness or aggressive behaviors."
"Dalmatian Dog Breed ","The Dalmatian, also known as the Carriage Dog, the English Coach Dog, the Plum Pudding Dog, the Dally, the Firehouse Dog, the Spotted Dick, the Spotted Coach Dog or simply the Dal, has a history shrouded in lore and legend.  It takes its name from the province of Dalmatia, an area in the western part of the former Yugoslavia, along the Adriatic Sea.  This reserved and dignified dog is the only breed specifically bred to be spotted.  The Dalmatian attracted considerable attention from Dodie Smith’s book One Hundred and One Dalmatians, which was popularized in the subsequent Walt Disney Movie, “101 Dalmatians.” The Dalmatian was recognized by the American Kennel Club in 1888 and remains a member of the Non-Sporting Group.","Appearance & Grooming of the Dalmation Dog Breed: The average Dalmatian stands about 19-23 inches high at the shoulder, and weighs between 55-70 pounds.  Their short coat, fine and velvety to the touch, is easy to care for.  Regular brushing can help to control their constant shedding.","History and Health of the Dalmation Dog Breed: The Dalmatian breed is a very old breed, and its exact origins are not known. Egyptian paintings of Dalmatian looking dogs running behind chariots have been discovered, and paintings in Italy and Spain from hundreds of years ago also feature Dalmatian dogs.","The Dalmatian dog breed has a personality and temperament that is out-going, playful, highly energetic, and intelligent.  They make good family dogs, but the Dalmatian needs strong leadership, or they may try to be the boss of the home and may also become aggressive."
"Dandie Dinmont Terrier Dog Breed ","The Dandie Dinmont Terrier, also known as Charlie’s Hope Terrier, the Mustard and Pepper Terrier, the Otter Terrier, the Dandie and the Hindlee Terrier, was bred to be a working terrier originally specializing in vermin-destruction - especially rodents but also rabbit, otter and badger. Today’s Dandie is known for its long, low-slung body and disproportionately large head topped with what looks like a helmet of white fur. The distinctive top-knot has been exaggerated over time for the show ring. The Dandie Dinmont has a distinctive deep bark that is much larger and louder than one would expect from a dog of its size, making it an excellent watch dog. It also is a wonderful family dog: intelligent, fond of children and affectionate. The Dandie was accepted into the Terrier Group of the American Kennel Club in 1886.","Appearance & Grooming of the Dandie Dinmont Terrier Dog Breed: The average Dandie stands 8  to 10 inches high at the shoulders and weighs between 18 and 24 pounds. Their silky hair needs to be brushed regularly, and the coat should be hand-stripped at least twice a year.","History and Health of the Dandie Dinmont Terrier Dog Breed: This breed originated in a region between England and Scotland, and evidence of the Dandie was first recorded in the early 1700’s. They were originally developed to hunt otter and badger.","The Dandie Dinmont Terrier Dog Breed has a personality and temperament that is playful and intelligent and they make good family dogs. The Dandie bravery can develop into aggression towards strangers or strange dogs, and pet owners should ensure that their Dandie is trained and socialized well."
"Doberman Pinscher Dog Breed ","Originally known as the Thuringer Pinscher or the Plizeilich Soldatenhund, the breed was renamed in 1899 as the Dobermannpinscher (one word) to honor the breed’s founder, Louis Dobermann, who passed away in 1894. Also called the Doberman, the Dobe and the Dobie, the Doberman Pinscher is a member of the Working Group of the American Kennel Club. While alert, bold and fearless, the Doberman should never be either vicious or shy. Dobermans are instinctively protective of their people and can be temperamental. Because of their size and sometimes exuberant nature, Dobies should be supervised around small children. The Doberman Pinscher was recognized by the American Kennel Club in 1908.","Appearance & Grooming of the Doberman Pinscher Dog Breed: The average Doberman stands  24 to 28 inches high at the shoulders and weighs between 60 and 100 pounds. Their short coat is very easy to care for, and regular brushing will help to reduce shedding in the home.","History and Health of the Doberman Pinscher Dog Breed: The Doberman originated in Germany in the late 1800’s, created from shepherd dogs, the Black and Tan Terrier, the German Pinscher, and the Rottweiler. They were bred to be guard dogs and companions, and they are still used today as guard and police dogs.","The Doberman Pinscher Dog Breed has a personality and temperament that is alert and energetic. This dog will also bond extremely closely to their owner and family, and they make excellent watch and guard dogs."
"Dogo Argentino Dog Breed ","The Dogo Argentino, also known as the Argentinian Mastiff or the Argentine Dogo, is a pack-hunting dog named after its country of origin. The breed’s direct ancestors are the Cordoba Fighting Dog and a number of other breeds, which were intentionally crossed in the 1920s to create a courageous, tenacious, fearless dog that could pursue and bring down dangerous wild predators while at the same time serving as a trustworthy and stable family companion.  The large, muscular Dogo Argentino is almost always pure white, which makes it especially easy to see in the forest or field.  This powerful breed is remarkably athletic and agile for its size and can cover ground almost effortlessly.  Still relatively rare, they respond best to positive, reward-based training and typically are extremely gentle with and fond of children. The Dogo has been described as a “consummate hunter, a superb companion [and] a wise and elegant guardian.”  It continues to excel as a valiant hunter of large prey, and also as a wonderful friend for active, experienced dog owners.  ","Appearance & Grooming of the Dogo Argentino Dog Breed:  Dogos typically stand between 23 and 27 inches at the withers and weigh anywhere from 80 to 100 pounds. Dogos should be brushed every few weeks to remove dirt, dandruff and loose hairs and keep its coat looking brilliant and fresh.","History and Health of the Dogo Argentino Dog Breed: The breed’s direct ancestors are the Cordoba Fighting Dog and other breeds which were crossed in the 1920s to create a  fearless dog that could pursue and bring down dangerous wild predators while at the same time serving as a trustworthy and stable family companion.","The Dogo Argentino Dog Breed has a personality and temperament that is fearless and loving. The breed was designed to be protective of family members, especially children.  However, it also was bred to be a fearless hunter of large prey, but Dogos have a remarkable instinctive ability to separate ferociousness from friendliness."
